empresa,estado,cidade,segmento,area,assunto,problema,data_abertura,classificacao,nota_satisfacao,ano,mes
Equatorial Piauí,SP,Itaquaquecetuba,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,2026-03-17,Resolvida,5.0,2026,3
Faculdade Anhanguera,SP,Taboão da Serra,Estabelecimentos de Ensino,Educação,Superior ( Graduação e Pós ),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-12,Não Avaliada,,2026,1
Nubank,MG,Itabira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-04-01,Não Avaliada,,2026,4
Tim,PR,Pinhais,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),SAC - Dificuldade de contato / acesso,2026-02-11,Não Avaliada,,2026,2
Serasa Experian,RS,Porto Alegre,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,Dificuldade de cancelamento / eliminação de dados / revogação do consentimento,2026-03-01,Não Avaliada,,2026,3
Banco Safra,RJ,Barra do Piraí,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Negativação indevida referente a cobrança não reconhecida,2026-02-05,Não Avaliada,,2026,2
NIO,MG,Belo Horizonte,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Fixa,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-04-02,,,2026,4
Nubank,PR,Palmeira,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-09,Não Avaliada,,2026,1
Ademicon Administradora de Consórcios (antigas Ademilar e Conseg),GO,Anápolis,Administradoras de Consórcios,Serviços Financeiros,Consórcio de Imóveis,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,,,2026,1
Will Bank,MG,Uberlândia,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-02-09,Não Avaliada,,2026,2
Banco Bradesco,SP,Luís Antônio,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-02-15,Não Avaliada,,2026,2
Recovery do Brasil Consultoria,AM,Manaus,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Informações incompletas / inadequadas sobre o serviço,2026-01-03,Não Avaliada,,2026,1
Facebook / Instagram,CE,Fortaleza,Provedores de Conteúdo e Outros Serviços na Internet,Demais Serviços,"Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc)",Suspensão ou desligamento indevido do serviço,2026-01-08,Não Avaliada,,2026,1
BRB - Banco de Brasília,RS,Gravataí,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança por serviço/produto não contratado / não reconhecido / não solicitado,2026-01-26,Não Avaliada,,2026,1
QI Tech,SP,São Paulo,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Consignado (para servidores públicos ou trabalhadores do setor privado),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-08,Não Avaliada,,2026,1
Brisanet Telecom,CE,Milagres,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-01-08,Não Avaliada,,2026,1
Pão de Açúcar,SP,São Paulo,Supermercados,Alimentos,"Vegetais (Frutas , verduras e legumes)","Data de validade vencida, ilegível, inexistente ou adulterada",2026-01-04,Resolvida,5.0,2026,1
Neoenergia Brasília,DF,Brasília,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,2026-01-14,Não Resolvida,1.0,2026,1
Serasa Experian,BA,Mucuri,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Serasa Experian,PE,Nossa Senhora do Ó,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-04,Não Avaliada,,2026,1
Vivo - Telefônica,MG,Juiz de Fora,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Telefonia Móvel Pós-paga,Cobrança após cancelamento do serviço,2026-01-12,Resolvida,5.0,2026,1
Sempre Odonto,MG,Varginha,Operadoras de Planos de Saúde e Administradoras de Benefícios,Saúde,"Plano Odontológico (convênio, autogestão, seguro saúde )",Má qualidade no atendimento presencial ou outros canais (exceto SAC),2026-01-12,Não Resolvida,1.0,2026,1
Natura,PI,Teresina,"Perfumaria, Cosméticos e Higiene Pessoal",Demais Produtos,"Perfumaria, cosméticos e higiene pessoal",Produto entregue incompleto / diferente do  pedido,2026-01-03,Resolvida,5.0,2026,1
Amazon.com.br,SP,São Paulo,Comércio Eletrônico,Produtos Eletrodomésticos e Eletrônicos,"Ar condicionado, ventilador e aquecedor",Não entrega / demora na entrega do produto,2026-01-06,,,2026,1
Nubank,AL,Maceió,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-01-13,Não Avaliada,,2026,1
Banco Itaú Unibanco,PA,Belém,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Atendimento Bancário,Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros,2026-01-23,Não Avaliada,,2026,1
BRB - Banco de Brasília,RN,Natal,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Negativação indevida referente à pagamento já efetuado,2026-02-19,Não Avaliada,,2026,2
Banco Itaú Unibanco,SP,Salto,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Serviço de pagamento online/ via celular/ maquininha,"Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros",2026-01-10,Não Resolvida,1.0,2026,1
Bradescard,BA,Paulo Afonso,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-03-28,Não Avaliada,,2026,3
Uber,MG,Piracema,Empresas de Intermediação de Serviços / Negócios,Demais Serviços,Serviços de entrega / delivery,Não entrega / demora na entrega do produto,2026-02-27,Não Avaliada,,2026,2
Netshoes,RS,Porto Alegre,Comércio Eletrônico,Demais Produtos,"Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.)",Dificuldade de contato / demora no atendimento,2026-03-24,Não Resolvida,1.0,2026,3
Nubank,ES,Aracruz,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Renegociação / parcelamento de dívida,2026-03-18,Não Resolvida,1.0,2026,3
Vivo - Telefônica,SP,Campo Limpo Paulista,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Internet Móvel,Suspensão ou desligamento indevido do serviço,2026-04-23,Resolvida,5.0,2026,4
Shopee Brasil,SP,São José dos Campos,Comércio Eletrônico,Demais Produtos,"Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc)",Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,2026-01-08,Não Avaliada,,2026,1
Nubank,PI,Teresina,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-07,,,2026,1
Tim,PR,Curitiba,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Dificuldade de contato / acesso a outros canais (exceto SAC),2026-01-09,,,2026,1
Serasa Experian,SP,Carapicuíba,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Consulta / Monitoramento de CPF,"Cobrança de tarifas, taxas, valores não previstos / não informados",2026-01-09,Não Avaliada,,2026,1
Banco Safra,DF,Brasília,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Financiamentos de Veículos / Leasing,Renegociação / parcelamento de dívida,2026-03-28,Não Avaliada,,2026,3
Claro Celular,PR,Pinhais,"Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)",Telecomunicações,Pacote de Serviços ( Combo ),Dificuldade para alterar/ ativar serviços,2026-01-27,,,2026,1
Banco Santander,RR,Boa Vista,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Seguro Prestamista,SAC - Demanda não resolvida / não respondida / respondida após o prazo,2026-03-04,Não Avaliada,,2026,3
Serasa Experian,DF,Brasília,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-03-13,Não Resolvida,5.0,2026,3
Recovery do Brasil Consultoria,GO,Goiânia,Empresas de Recuperação de Crédito,Serviços Financeiros,Cartão de Crédito / Cartão de Débito / Cartão de Loja,Cobrança indevida / abusiva para alterar ou cancelar o contrato,2026-01-09,Não Avaliada,,2026,1
Serasa Experian,SP,São Paulo,Bancos de Dados e Cadastros de Consumidores,Serviços Financeiros,Score / Pontuação de Crédito,Impossibilidade / dificuldade de revisão do score / pontuação,2026-01-13,Não Avaliada,,2026,1
Itaú Unibanco Consignado,SC,Nova Veneza,"Bancos, Financeiras e Administradoras de Cartão",Serviços Financeiros,Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos),"Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)",2026-01-09,Não Avaliada,,2026,1
